Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Biological_Process_2023	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	1/61	0.0448011524424067	0.0578931782231636	0	0	23.720238095238095	73.66370739100482	MDM2	1	61	0.01639344262295082	1.2373726078542704	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway	"Negative Regulation Of Intrinsic Apoptotic
Signaling Pathway"
GO_Biological_Process_2023	Negative Regulation Of Kinase Activity (GO:0033673)	1/62	0.0455197414373441	0.0586644796064168	0	0	23.330210772833723	72.08123312729496	RB1	1	62	0.016129032258064516	1.2316247774606788	Negative Regulation Of Kinase Activity	Negative Regulation Of Kinase Activity
GO_Biological_Process_2023	G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	1/63	0.0462378258751889	0.0591157349385705	0	0	22.952764976958527	70.5558142686329	CDKN1A	1	63	0.015873015873015872	1.228296906809805	G1/S Transition Of Mitotic Cell Cycle	G1/S Transition Of Mitotic Cell Cycle
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	1/63	0.0462378258751889	0.0591157349385705	0	0	22.952764976958527	70.5558142686329	RB1	1	63	0.015873015873015872	1.228296906809805	Positive Regulation Of Mitotic Cell Cycle Phase Transition	"Positive Regulation Of Mitotic Cell Cycle
Phase Transition"
GO_Biological_Process_2023	Regulation Of Cellular Catabolic Process (GO:0031329)	1/63	0.0462378258751889	0.0591157349385705	0	0	22.952764976958527	70.5558142686329	ATM	1	63	0.015873015873015872	1.228296906809805	Regulation Of Cellular Catabolic Process	Regulation Of Cellular Catabolic Process
GO_Biological_Process_2023	Cellular Response To Virus (GO:0098586)	1/64	0.0469554060796374	0.0595592256062769	0	0	22.58730158730159	69.0845479012675	BAX	1	64	0.015625	1.2250509576140716	Cellular Response To Virus	Cellular Response To Virus
GO_Biological_Process_2023	Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056)	1/64	0.0469554060796374	0.0595592256062769	0	0	22.58730158730159	69.0845479012675	CASP8	1	64	0.015625	1.2250509576140716	Positive Regulation Of Cysteine-Type Endopeptidase Activity	"Positive Regulation Of Cysteine-Type
Endopeptidase Activity"
GO_Biological_Process_2023	Positive Regulation Of Interleukin-1 Production (GO:0032732)	1/64	0.0469554060796374	0.0595592256062769	0	0	22.58730158730159	69.0845479012675	CASP8	1	64	0.015625	1.2250509576140716	Positive Regulation Of Interleukin-1 Production	"Positive Regulation Of Interleukin-1
Production"
GO_Biological_Process_2023	Regulation Of Cell-Matrix Adhesion (GO:0001952)	1/65	0.0476724823882987	0.060310069583097	0	0	22.233258928571427	67.66472104881002	CDKN2A	1	65	0.015384615384615385	1.2196101704589488	Regulation Of Cell-Matrix Adhesion	Regulation Of Cell-Matrix Adhesion
GO_Biological_Process_2023	Peptidyl-Threonine Modification (GO:0018210)	1/66	0.0483890551226402	0.0608969309898501	0	0	21.89010989010989	66.29379556401673	CHEK1	1	66	0.015151515151515152	1.2154045938656177	Peptidyl-Threonine Modification	Peptidyl-Threonine Modification
